2,Era,#:,Song Title,Credited Artist(s):,Producer(s):,Engineer(s):,Additional Information:,File Name(s) | Metadata:,Instrumental Name(s):,Recording Location(s):,Record Date(s):,Preview Date:,Date(s):,Duration,Category:,Available Files:
15,JUTE,11,Goin' Crazy,JuiceTheKidd,IAmMillzMusic,Unknown,-,My Song 23,,"[ ? ] Home Recording Studio, [ ? ], Chicago, IL.","Recorded August 2, 2015.","First Previewed August 2, 2015.","Surfaced July 21, 2021.",4:26,Throwaway Track ( Complete ),Original File 128kbps (.mp3)
16,JUTE,12,I Don't Know,JuiceTheKidd,Classix Beats,Romel Williams,-,i dont know-juicethekid,"Drake Type Beat - ""The View""","Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded November 12, 2015. File Exported November 12, 2015.","First Teased July 18, 2016.","Surfaced June 24, 2019.",3:00,Throwaway Track ( Complete ),Original File 2117kbps (.wav)
17,JUTE,13,In My Mind Forever,JuiceTheKidd,Unknown,Pedro Ramirez,Shares the same sample as 'Forever' & 'Forever (Pt. 2)'. Samples Yuna's 'Lullabies (Adventure Club Remix)'. Shares the same instrumental as ShowSlimStunna's 'Forever In My Life'.,INMYMIND,,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded December 9, 2015. File Exported December 9, 2015.",-,"Surfaced July 31, 2020.",4:14,Throwaway Track ( Complete ),Original File 2117kbps (.wav)
18,JUTE,14,Jordan (Woah) [Pt. 2] WOAH ( Pt. 2 ) Song was originally called 'Jordan'.,JuiceTheKidd,Cam Beats,Dorian Snowden,"Originally released on SoundCloud as a single track, but was later removed for unknown reasons. Sequel song to 'WOAH'.",JuiceTheKidd - Jordan,,"Homewood Public Library Digital Media Lab Recording Studio, Homewood, Chicago, IL.","Recorded January 21, 2016.","First Previewed February 5, 2016. First Teased February 5, 2016.","Released February 5, 2016. Resurfaced July 16, 2018.",3:52,Single Track ( Complete ),Original File 192kbps (.mp3)
19,JUTE,15,KKK Ku Klux Klan,JuiceTheKidd,UrBan Nerd Beats,Romel Williams,-,KKK-JUICE,"""COLD""- UrBan Nerd Beats","Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded October 25, 2015. File Exported October 25, 2015.",-,"Surfaced May 21, 2020.",3:34,Throwaway Track ( Complete ),Original File 2117kbps (.wav)
20,JUTE,16,LET'S GO,JuiceTheKidd,DJ Anuedy,Romel Williams,"Originally released on Streaming Platforms as a single track, then it was reissued as track #6 on 'JUICED UP THE EP'.",LETS GO,,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded October 25, 2015. File Exported October 25, 2015.",-,"Released January 30, 2016. Reissued January 31, 2016. Resurfaced November 5, 2018.",3:43,EP Track ( Complete ),Original File 2117kbps (.wav)
21,JUTE,17,Let's Go (with Gunbo & Mr. Goon) Tube,"JuiceTheKidd, Gunbo & Mr. Goon",Unknown,Unknown,-,tube,Do It for the bag (Instrumental),"[ ? ], [ ? ], Chicago, IL.","Recorded June 28, 2014.",-,"Surfaced June 4, 2023.",5:41,Throwaway Track ( Complete ),Original File 192kbps (.mp3)
22,JUTE,18,Man Man,JuiceTheKidd,Superstaar Beats,Pedro Ramirez,-,MANMAN,,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded December 27, 2015. File Exported December 27, 2015.",-,"Surfaced June 19, 2020.",4:21,Throwaway Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
23,JUTE,19,"Ohh My, Ohh My",JuiceTheKidd,Derzy,Romel Williams,-,OHH MY OHH MY-JUICE,,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded January 25-26, 2016. File Exported January 26, 2016.",-,"Surfaced July 28, 2020.",3:30,Throwaway Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
24,JUTE,20,On The Low Let You Know,JuiceTheKidd,Superstaar Beats,Pedro Ramirez,-,ONTHELOW,,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded December 10, 2015. File Exported December 10, 2015.","First Teased December 10, 2015.","Surfaced June 13, 2020.",4:05,Single Track ( Complete ),Original File 2117kbps (.wav)
25,JUTE,21,Only For You Only For U,JuiceTheKidd,Unknown,Unknown,Samples Anita Baker's 'Whatever It Takes'.,only for u 2,,"[ ? ], [ ? ], Chicago, IL.",-,-,"Surfaced January 15, 2019.",3:52,Single Track ( Complete ),Original File 375kbps (.caf)
26,JUTE,22,Over & Over Song was originally called 'Over 'N Over'.,JuiceTheKidd,Unknown,Romel Williams,"Originally released on SoundCloud as a single track, but was later removed for unknown reasons.",OVER N OVER-JUICE,,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded September 27, 2015. File Exported September 27, 2015.","First Teased October 29, 2016.","Released October 29, 2015. Resurfaced August 25, 2019.",3:12,Single Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
27,JUTE,23,Thoughts,JuiceTheKidd,Cam Beats,Dorian Snowden,-,JuiceTheKidd - Thoughts 2,,"Homewood Public Library Digital Media Lab Recording Studio, Homewood, Chicago, IL.","Recorded January 21, 2016.","First Previewed February 11, 2016.","Surfaced July 16, 2018.",3:39,Throwaway Track ( Complete ),Original File 192kbps (.mp3)
28,JUTE,24,Trap Phone Bling Hotline Bling ( Remix ),JuiceTheKidd,Kid Jimi & Nineteen85,Romel Williams,"Originally released on SoundCloud as a single track, but was later removed for unknown reasons. Remixes Drake's 'Hotline Bling'.",02 Trap Phone Bling,hotline bling instrumental (prod by kid jimi),"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded September 13, 2015.","First Previewed October 1, 2015. First Teased November 6, 2015.","Released December 2, 2015. Resurfaced December 2, 2018.",4:06,Single Track ( Complete ),Original File 261kbps (.m4a)
29,JUTE,25,Tweekin' (with Zay Loco) Lavender Town,JuiceTheKidd & Zay Loco,Junichi Masuda & TAMALHI,Romel Williams,"Originally released on SoundCloud as a single track, but was later removed for unknown reasons. Samples Junichi Masuda's 'Lavender Town' a song from 'Pokémon Red', 'Blue', 'Green' & 'Yellow'.",File Name: TWEEKIN_NEW Session Title: TWEEKIN-S.ptx Folder Title: TWEEKIN,Instrumental (1): NEW 2015) Instrumental (2): Chris Travis x Denzel Curry x Pouya x Xavier Wulf Type Beat (NEW 2015),"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded September 5, 2015.",-,"Released October 21, 2015. Surfaced November 5, 2018. Session Surfaced January 25, 2026.",3:12,Single Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
30,JUTE,26,Who Are You?,JuiceTheKidd,GLORIOUS BEATS,Dorian Snowden,-,JuiceTheKidd,,"Homewood Public Library Digital Media Lab Recording Studio, Homewood, Chicago, IL.","Recorded January 19, 2016. File Exported January 20, 2016.","First Teased January 19, 2016.","Surfaced August 25, 2019.",3:08,Throwaway Track ( Complete ),Original File 192kbps (.mp3)
31,JUTE,27,You & I,JuiceTheKidd,Unknown,Pedro Ramirez,-,YOU&I,,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded November 12-13, 2015. File Exported November 13, 2015.",-,"Surfaced July 25, 2020.",4:08,Throwaway Track ( Complete ),Original File 2117kbps (.wav)
33,AFF,1,2MININHELL (Pt. 2) 2 Minutes ( Pt. 2 ) | 2 Minutes In Hell ( Pt. 2 ) | Lose Me,JuiceTheKidd,Unknown,Unknown,Sequel track to '2MININHELL'.,2 MINUTES PART TWO,,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.",-,-,"Surfaced May 24, 2020.",3:24,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
34,AFF,2,Chop A Brick SAD ROCKSTAR </3,JuiceTheKidd,King LeeBoy,RoadRunner GDo,-,Chop A Brick (Final),"XXXTENTACION Type Beat 2017 - ""Riot"" (Prod. By King LeeBoy)","RoadRunner GDo's Home Recording Studio, Country Club Hills, Chicago, IL.",-,"First Previewed February 21, 2017. First Teased January 26, 2017.","Surfaced October 12, 2021.",3:19,Throwaway Track ( Complete ),Original File 261kbps (.m4a)
35,AFF,3,DRUGZ (feat. JuiceTheKidd) DRUGS,King Jefe,CaliBaset Beats,Unknown,"Originally released on SoundCloud as a single track, but was later removed for unknown reasons.",,,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded July [ ? ], 2016.","First Teased August 4, 2016.","Released August 6, 2016.",2:54,Feature & Single Track ( Complete ),128kbps (.mp3)
36,AFF,4,Fuck It Up (feat. JuiceTheKidd),King Jefe,CaliBaset Beats & Don-K,Unknown,"Originally released on SoundCloud as a single track, but was later removed for unknown reasons.",,,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded July [ ? ], 2016.","First Previewed July 20, 2016.","Released July 22, 2016.",2:26,Feature & Single Track ( Complete ),128kbps (.mp3)
37,AFF,5,GO Paid,JuiceTheKidd,Cam Beats,Dorian Snowden,"Song is unfinished, contains an open verse.",JuiceTheKidd - GO,,"Homewood Public Library Digital Media Lab Recording Studio, Homewood, Chicago, IL.","Recorded May 4, 2016.","First Previewed May 15, 2016.","Surfaced October 13, 2021.",3:26,Throwaway Track ( Hook Only ),Original File 192kbps (.mp3)
38,AFF,6,High Tide Surfin',JuiceTheKidd,Unknown,Unknown,-,high tide 2,,"[ ? ], [ ? ], Chicago, IL.",-,-,"Surfaced August 3, 2021.",2:54,Throwaway Track ( Complete ),Original File 375kbps (.caf)
39,AFF,7,I Love It,JuiceTheKidd,Xavier Jordan,Unknown,-,I LOVE IT _NEW,Instrumental: Luv Instrumental Stems: wizx,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded August 1-2, 2016.","First Previewed August 2, 2016. First Teased July 26, 2016.","Surfaced July 10, 2023.",3:48,Original Solo Demo Track ( Complete ),Original File 320kbps (.mp3)
40,AFF,8,I Love It (feat. YdotGdot),JuiceTheKidd,Xavier Jordan,Unknown,"Originally released on Spinrilla as track #5 on Enviyon Entertainment's 'THE NEXT', but was later removed after permanent closure of the site. Song originally began as a solo Juice WRLD track.",,Instrumental: Luv Instrumental Stems: wizx,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Juice's Vocals August 1-2, 2016.",-,"Released September 1, 2016. Resurfaced February 11, 2024.",3:51,Feature & Single Track ( Complete ),320kbps (.mp3)
41,AFF,9,I Wanna,JuiceTheKidd,Nick Mira,Romel Williams,-,I WANNA-JUICETHEKID,,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded August 15, 2016.","First Previewed August 16, 2016.","Surfaced July 24, 2018.",3:36,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
42,AFF,10,IMDA$$HIXX I'm Da Shit,JuiceTheKidd,6Skilky,Pedro Ramirez,-,IMDA$$HIXX,,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded March 18, 2016.","First Previewed March 18, 2016.","Surfaced October 27, 2020.",2:18,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
43,AFF,11,Kawasaki,Juice WRLD,Dorien Theus,Unknown,-,KAWASAKI,Wonderland,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded February 1, 2017.","First Previewed February 1, 2017.","Surfaced June 3, 2018.",3:50,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
44,AFF,12,"Like, Yeah Don't Care",Juice WRLD,Dorien Theus,Unknown,-,LIKE YEAH,,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded January 18, 2017.",-,"Surfaced May 7, 2020.",3:57,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
45,AFF,13,Masterpiece,JuiceTheKidd,Lord Khep & Unknown,Unknown,Samples Joyner Lucas' 'Ross Capicchioni'.,Juice masterpiece,,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded May 11, 2016. File Exported May 11, 2016.",-,"Surfaced August 7, 2020.",3:29,Throwaway Track ( Complete ),Original File 2117kbps (.wav)
46,AFF,14,Matrix Different Phases,Juice WRLD,JRHITMAKER & Nick Mira,Unknown,Shares the same instrumental as 'this can't be happening <3'.,MATRIX,Instrumental: Afterparty [Untagged] 140 (Nick Mira & JRHITMAKER) Loop Stems: Capital Loop Kit: JRHITMAKER - Caffeine,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.",-,-,"Surfaced April 22, 2020.",4:21,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
47,AFF,15,No Reason,Juice WRLD,Dorien Theus,Romel Williams,-,NO REASON,Valley Untagged 146,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded December 29, 2016.","First Previewed December 31, 2016.","Surfaced January 19, 2020.",3:45,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
48,AFF,16,On The Rise Count My Dough,JuiceTheKidd,KayGW,Romel Williams,-,ON THE RISE-JUICE THE KID,Lil Uzi Vert Type Beat 2016 - Fetti,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded August 1-2, 2016.","First Previewed August 2, 2016.","Surfaced June 4, 2020.",3:05,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
49,AFF,17,Pesos,Juice WRLD,Nick Mira,Romel Williams,-,PESOS-,Instrumental: Penthouse [Untagged] 128 Loop: Velocity 125 Loop Kit: Nick Mira - Valkyrie,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded December 29, 2016.","First Previewed December 29, 2016.","Surfaced May 26, 2018.",4:15,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
50,AFF,18,Ran Off Song is titled after the instrumental.,JuiceTheKidd,CorMill,Unknown,-,ran off,"Instrumental (1): ""RAN OFF"" Madeintyo Type Beat x Lil Yachty x Playboi Carti x Lil Uzi Vert Instrumental (2): LANKY2","Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded May 11, 2016. File Exported May 11, 2016.","First Previewed May 14, 2016.","Surfaced August 11, 2020.",3:54,Throwaway Track ( Complete ),Original File 2117kbps (.wav)
51,AFF,19,"Right, Left On My Right",JuiceTheKidd,Dorien Theus & The Martianz,RoadRunner GDo,-,"RL - 1 11 17, 6.01 PM",Loop: Darkly - Blind Spot,"RoadRunner GDo's Home Recording Studio, Country Club Hills, Chicago, IL.","Recorded January 11, 2017.","First Previewed August 22, 2020.","Surfaced May 23, 2023.",4:49,Throwaway Track ( Complete ),Original File 263kbps (.m4a)
52,AFF,20,Watch Me,Juice WRLD,Nick Mira,Unknown,-,watch me,Carter [Untagged] 131,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.",-,-,"Surfaced June 24, 2018.",3:55,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
53,AFF,21,Work,JuiceTheKidd,Hella Sketchy,Romel Williams,-,WORK-JUICETHEKID,shordi,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.",-,"First Previewed September 16, 2016.","Surfaced August 26, 2020.",2:26,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
54,AFF,22,"Xan, Xan, Xan (with RoadRunner GDo) XXX",Juice WRLD & RoadRunner GDo,GALASSIA,RoadRunner GDo,-,XXX,"Future x YFN Lucci Type Beat ""Hybrid"" | Galassia Beats","RoadRunner GDo's Home Recording Studio, Country Club Hills, Chicago, IL.","Recorded February 4, 2017.",-,"Surfaced May 23, 2023.",3:57,Throwaway Track ( Complete ),Original File 261kbps (.m4a)
55,AFF,23,Yo' Bishh Crew,JuiceTheKidd,Unknown,Unknown,"Originally released on SoundCloud as a single track, but was later removed for unknown reasons.",My Song 40,,"Homewood Public Library Digital Media Lab Recording Studio, Homewood, Chicago, IL.","Recorded February 3, 2016.","First Teased February 4, 2016.","Released February 4, 2016. Resurfaced August 25, 2019.",2:49,Single Track ( Complete ),Original File 192kbps (.mp3)
56,AFF,24,You Freestyle Best I Ever Had ( Remix ),JuiceTheKidd,Boi-1da,Unknown,Remixes Drake's 'Best I Ever Had'.,you freestyle,,"[ ? ], [ ? ], Chicago, IL.",-,-,"Surfaced May 3, 2022.",4:12,Throwaway Track ( Complete ),Original File 375kbps (.caf)
58,HIH 9 9 9,1,Franky On Me (with RoadRunner GDo) Franky On Me ( Pt. 1 ),Juice WRLD & RoadRunner GDo,DeCicco Beats,RoadRunner GDo,"Originally released on SoundCloud & YouTube as a single track, but was later removed for unknown reasons.",,,"RoadRunner GDo's Home Recording Studio, Country Club Hills, Chicago, IL.",-,-,"Released April 18, 2017.",2:52,Single Track ( Complete ),128kbps (.mp3)
59,HIH 9 9 9,2,Hell,Juice WRLD,Dorien Theus,Pedro Ramirez,"Song is unfinished, contains an open verse.",HELL,Remedy Untagged 134,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded March 20, 2017.","First Teased March 18, 2017.","Surfaced July 3, 2022.",4:18,Throwaway Track ( Open Verse ),Original File 320kbps (.mp3)
60,HIH 9 9 9,3,Tuff Talk Club Wit' A K | Tough Talk,Juice WRLD,IVN,Pedro Ramirez,-,TUFF TALK,"Instrumental (1): ""Flacko"" A$AP Rocky Type Beat (Prod. IVN) Instrumental (2): 424Mastered","Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded March 20, 2017.",-,"Surfaced November 27, 2021.",3:13,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
62,JW 9 9 9,1,Money Hunt Double Dutch,Juice WRLD,Joey88,Marcus Gibson,-,File Name: Money Hunt_1st Mix Session Title: 5-27-17.ptx Folder Title: Money Hunt,Goggles115BPM,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded May 27, 2017. File Exported July 7, 2017.",-,"Surfaced June 3, 2018. Session Surfaced September 27, 2023.",3:37,Original Solo Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
63,JW 9 9 9,2,No More,Juice WRLD,Nick Mira,Unknown,-,No More,Beat Pack: juicewrld may 2017,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded May 11, 2017.","First Previewed May 11, 2017. First Teased August 20, 2017.","Surfaced July 16, 2018.",3:26,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
64,JW 9 9 9,3,No Promo Like A Pro,Juice WRLD,IAmMillzMusic & Leaf,Marcus Gibson,-,File Name: NO PROMO 1ST MIX Session Title: 5-27-17 (2).ptx Folder Title: No Promo,BrainstormMASTER (revised)_01,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded May 27, 2017. File Exported July 7, 2017.","First Previewed October 18, 2021.","Surfaced August 16, 2022. Session Surfaced December 20, 2023.",4:39,Throwaway Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
65,JW 9 9 9,4,"Oh, No",Juice WRLD,NV,Pedro Ramirez,-,OH NO,Juice WRLD Beat1,"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded April 26, 2017.","First Teased April 28, 2017.","Surfaced July 7, 2020.",3:15,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
66,JW 9 9 9,5,Radio,Juice WRLD,Nick Mira,Unknown,-,RADIO,Instrumental (1): Omega [Untagged] 125 Instrumental (2): Big Sean Type Beat - Omega (Prod. Bricc Flair),"Enviyon Entertainment Recording Studio, Country Club Hills, Chicago, IL.","Recorded May 11, 2017.",-,"Surfaced May 3, 2021.",3:15,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
67,JW 9 9 9,6,Studio Sessions (I don't wanna lose freestyle) </3 I DON'T WANNA LOSE Song was originally untitled.,Juice WRLD,Morgan Lightle,Morgan Lightle,"Originally released on SoundCloud as a single track, but was later removed for unknown reasons.",File Name: Juice Session Title (1): Untitled 1 .logicx Session Title (2): juice.logicx,Smoke Shop,"Morgan Lightle's Home Recording Studio, Homewood, Chicago, IL.","Recorded April 19, 2017.","First Previewed April 19, 2017. First Teased August 2, 2017.","Released May 22, 2017. Resurfaced April 28, 2022. Session Surfaced December 9, 2024.",4:04,Single Track ( Complete ),Studio Session & Original File 263kbps (.m4a)
69,BDM,1,Grace (Teaser),Juice WRLD,Nick Mira & Taz Taylor,RoadRunner GDo,"Song is unfinished, contains an open verse.",Grace (Teaser),Instrumental: NM x TT - Miles 115 BPM Loop Stems: Takeoff Loop Kit: Taz Taylor - Analog Money Beat Pack: Juice August Pack,"RoadRunner GDo's Home Recording Studio, Country Club Hills, Chicago, IL.",-,"First Previewed May 5, 2021. First Teased January 16, 2018.","Surfaced May 9, 2021.",4:27,Throwaway Track ( Open Verse ),Original File 261kbps (.m4a)
70,BDM,2,On My Ex (Don't Know How To Act),Juice WRLD,CashMoneyAp,RoadRunner GDo,Shares the same instrumental as Convolk's 'Diamond Tea Leaves' & 9TAILS' 'Eat That Dirt'.,On My Ex (Dont know how to act),"Lil Uzi Vert Type Beat 2017 - ""Regardless""","RoadRunner GDo's Home Recording Studio, Country Club Hills, Chicago, IL.",-,"First Previewed July 8, 2017. First Teased July 7, 2017.","Surfaced January 18, 2026.",3:39,Throwaway Track ( Complete ),Original File 261kbps (.m4a)
71,BDM,3,Rock,Juice WRLD,Unknown,Morgan Lightle,-,rock,,"Morgan Lightle's Home Recording Studio, Homewood, Chicago, IL.","Recorded July 24, 2017.","First Previewed July 24, 2017.","Surfaced January 30, 2020.",2:57,Throwaway Track ( Complete ),Original File 160kbps (.mp3)
72,BDM,4,Slightly Less Of A Seizure Mind Games,Juice WRLD,E-Trou & Nick Mira,Gary Walker,-,Slighty less of a seazure,Instrumental: NM - Contrast 155 BPM Loop Stems: Ultra Loop Kit: E-Trou - Sapphire,"Columbia College University Center Dormitory Recording Studio, South Loop, Chicago, IL.","Recorded October 29, 2017.",-,"Surfaced January 17, 2022.",1:45,Throwaway Track ( Complete ),Original File 160kbps (.mp3)
73,BDM,5,Watts Demon Girl | Deserve It | Monster Song is untitled.,Juice WRLD,JRHITMAKER & Nick Mira,Morgan Lightle,-,File Name: august 2 Session Title (1): Juice.logicx Session Title (2): august 2.logicx,Instrumental: NM - Watts 140 BPM MIDI: Glue,"Morgan Lightle's Home Recording Studio, Homewood, Chicago, IL.","Recorded August 1, 2017. File Exported August 2, 2017.","First Previewed August 1, 2017.","Surfaced December 18, 2023. Session Surfaced December 9, 2024.",3:12,Throwaway Track ( Complete ),Studio Session & Original File 160kbps (.mp3)
74,BDM,6,Your Man (with 9DSVN) France,Juice WRLD & 9DSVN,Nick Mira,Morgan Lightle,"Song is unfinished, contains an open verse.",File Name: Your Man Session Title (1): Untitled 1 .logicx Session Title (2): Your Man.logicx,Fourty 142 BPM,"Morgan Lightle's Home Recording Studio, Homewood, Chicago, IL.","Recorded July 11, 2017.","First Previewed July 11, 2017.","Surfaced May 2, 2021. Session Surfaced December 9, 2024.",6:47,Throwaway Track ( Open Verse ),Studio Session & Original File 160kbps (.mp3)
